"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\index.tsx", "TypeScript JSX", 0, 0, 70, 5, 9, 84
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\notifications\index.tsx", "TypeScript JSX", 0, 0, 490, 15, 48, 553
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\components\FileViewer.tsx", "TypeScript JSX", 0, 0, 56, 0, 4, 60
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\components\RenseignementTable.tsx", "TypeScript JSX", 0, 0, 206, 0, 4, 210
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\index.tsx", "TypeScript JSX", 0, 0, 568, 22, 58, 648
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\reparateur\index.tsx", "TypeScript JSX", 0, 0, 323, 0, 23, 346
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\settings\components\BackupRestore.tsx", "TypeScript JSX", 0, 0, 366, 23, 44, 433
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\settings\components\GeneralSettings.tsx", "TypeScript JSX", 0, 0, 356, 9, 21, 386
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\settings\components\RolePermissions.tsx", "TypeScript JSX", 0, 0, 289, 15, 22, 326
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\settings\components\UserManagement.tsx", "TypeScript JSX", 0, 0, 149, 3, 11, 163
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\settings\index.tsx", "TypeScript JSX", 0, 0, 69, 0, 4, 73
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\stock\components\StockInventory.tsx", "TypeScript JSX", 0, 0, 150, 0, 11, 161
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\stock\components\StockLocations.tsx", "TypeScript JSX", 0, 0, 191, 2, 9, 202
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\stock\components\StockTransfers.tsx", "TypeScript JSX", 0, 0, 221, 3, 15, 239
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\stock\components\TransferHistory.tsx", "TypeScript JSX", 0, 0, 199, 0, 12, 211
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\stock\index.tsx", "TypeScript JSX", 0, 0, 41, 0, 8, 49
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\tasks\index.tsx", "TypeScript JSX", 0, 0, 360, 5, 32, 397
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\users\index.tsx", "TypeScript JSX", 0, 0, 358, 4, 29, 391
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\404.tsx", "TypeScript JSX", 0, 0, 37, 1, 4, 42
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\EmployeeLayout.tsx", "TypeScript JSX", 0, 0, 24, 4, 7, 35
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\EmployeeNavbar.tsx", "TypeScript JSX", 0, 0, 47, 1, 5, 53
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\EmployeeSidebar.tsx", "TypeScript JSX", 0, 0, 82, 3, 8, 93
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\index.tsx", "TypeScript JSX", 0, 0, 121, 5, 11, 137
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\renseignement\components\FileViewer.tsx", "TypeScript JSX", 0, 0, 56, 0, 4, 60
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\renseignement\components\RenseignementTable.tsx", "TypeScript JSX", 0, 0, 206, 0, 4, 210
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\renseignement\index.tsx", "TypeScript JSX", 0, 0, 572, 22, 61, 655
"d:\gazzeh travail\espace-elite\src\pages\roles\employee\tasks\index.tsx", "TypeScript JSX", 0, 0, 365, 6, 34, 405
"d:\gazzeh travail\espace-elite\src\pages\welcome.tsx", "TypeScript JSX", 0, 0, 138, 3, 6, 147
"d:\gazzeh travail\espace-elite\src\styles\globals.css", "CSS", 74, 0, 0, 0, 5, 79
"d:\gazzeh travail\espace-elite\src\types\index.ts", "TypeScript", 0, 371, 0, 0, 22, 393
"d:\gazzeh travail\espace-elite\src\types\next-auth.d.ts", "TypeScript", 0, 21, 0, 0, 4, 25
"d:\gazzeh travail\espace-elite\src\types\react-leaflet.d.ts", "TypeScript", 0, 48, 0, 0, 8, 56
"d:\gazzeh travail\espace-elite\src\types\renseignement.ts", "TypeScript", 0, 66, 0, 0, 5, 71
"Total", "-", 74, 5561, 22220, 787, 2802, 31444
